potentialBGC	type	nucl_start	nucl_end	size	core_domains	product	sequence_id	Gene cluster genes	Gene cluster gene accessions	Compound with gene cluster of highest homology	Best_Match_BGC	Similarity
38	Terpene	118683017	118863393	180380	Epimerase, Terpene_synth, Terpene_synth_C, p450	-	NC_050101.1	LOC100193482;LOC103631582;LOC100280312;LOC103630534;LOC103630536;LOC100275468;LOC100285511;LOC10028_2355;LOC100285026;LOC100274274;LOC100284240;LOC10028_2356;LOC732752	NP_001345686.1;XP_020395193.1;NP_001146710.1;XP_008649809.1;XP_008649810.1;NP_001143005.1;NP_001151875.1;XP_008647965.1;NP_001151393.2;NP_001142110.1;NP_001150607.1;XP_008647936.1;NP_001295429.1		145.0	46.26865671641791
39	Saccharide	139102070	139525077	423010	2OG-FeII_Oxy, Amino_oxidase, Cellulose_synt, DIOX_N, UDPGT_2	flavonoid, oleananes	NC_050101.1	LOC100280350;LOC103629864;LOC100381883;LOC109940399;LOC103629865;LOC100217090;LOC10012_27;LOC100125649	NP_001347991.1;XP_008649176.1;NP_001168136.1;XP_020395510.1;XP_020395511.1;NP_001136931.1;NP_001106050.2;XP_020394351.1		171.0	53.8860103626943
40	Saccharide	167042042	167125467	83420	Aminotran_3, UDPGT_2, p450	-	NC_050101.1	LOC103630073;ga3ox2;ga3ox2_1;LOC103631433;LOC103630074;LOC103630075;LOC100383744;LOC103630076;LOC10027_2797;LOC100276587;LOC103630079;LOC542564;LOC100286260;LOC100170234;LOC10017_8;LOC103631435	XP_008649389.1;XP_008647746.1;NP_001146525.1;XP_020395085.1;XP_008649391.1;XP_008649392.1;NP_001338618.1;NP_001142734.2;XP_020395086.1;NP_001338617.1;XP_020395694.1;NP_001105574.1;NP_001152619.1;NP_001123588.1;XP_008647276.1;XP_008650572.2		107.0	41.8230563002681
41	Cyclopeptide	5930206	7336715	1406510	BURP	-	NC_050102.1	LOC100382101;LOC10038_1628;LOC100275411;LOC103633683;LOC109940829;LOC100281391;LOC100037820;LOC10003_11;LOC10003_12;LOC10003_13;LOC10003_14;LOC10003_15;LOC10003_16;LOC10003_17;LOC10003_18;LOC10003_19;LOC10003_20;LOC100272318;LOC103631950;LOC100384228;LOC100284937;LOC103631951;LOC109941011;LOC100501925;LOC10050_429;LOC100193299;LOC100384307;LOC100283014;LOC103631954;LOC10363_678;LOC10363_680;LOC10363_681;LOC10363_679;LOC10363_682;LOC10363_683;LOC100278468;LOC100276461;LOC10027_2981;LOC10027_2982;LOC10027_2983;LOC10027_2984;LOC10027_2985;LOC10027_2986;LOC10027_2987;LOC10027_2988;LOC10027_2989;LOC10027_2990;LOC10027_2991;LOC10027_2992;LOC10027_2993;LOC10027_2994;LOC10027_2995;LOC10027_2996;LOC10027_2997;LOC10027_2998;LOC10027_2999;LOC10027_3000;LOC10027_3001;LOC10027_3002;LOC10027_3003;LOC10027_3004;LOC10027_3005;LOC10027_3006;LOC10027_3007;LOC10027_3008;LOC10027_3009;LOC10027_3010;LOC10027_3011;LOC103631955;LOC103631956;LOC100274070;LOC100274899;LOC10027_3012;LOC103631959;LOC103631958;LOC103631960;LOC100281302;LOC103633692;LOC111274022;LOC103631966;LOC100194343	XP_023156312.1;NP_001168333.1;NP_001361218.1;XP_008653613.1;XP_023156377.1;NP_001147781.1;XP_008650752.2;XP_008650753.2;XP_008650755.2;XP_020395849.1;NP_001105990.1;XP_035816215.1;XP_035816216.1;XP_035816217.1;XP_035816218.1;XP_035816219.1;XP_035816220.1;NP_001140274.1;XP_008652025.1;NP_001315123.1;NP_001151304.1;XP_035817109.1;XP_035816688.1;NP_001335613.1;NP_001335612.1;NP_001131910.1;NP_001170334.1;NP_001149388.1;NP_001357915.1;XP_020396606.1;XP_035816603.1;XP_035816604.1;XP_035816605.1;XP_020396607.1;XP_023156350.1;NP_001159160.1;XP_020395984.1;XP_020395985.1;XP_020395987.1;XP_020395988.1;XP_020395989.1;XP_020395991.1;XP_020395993.1;XP_020395994.1;XP_020395995.1;XP_020395996.1;XP_020395997.1;XP_035816356.1;XP_035816357.1;XP_035816358.1;XP_035816359.1;XP_035816360.1;XP_023156249.1;XP_035816361.1;XP_035816362.1;XP_035816363.1;XP_035816364.1;XP_035816365.1;XP_035816366.1;XP_035816367.1;XP_035816368.1;XP_035816369.1;XP_035816370.1;XP_035816371.1;NP_001143719.1;XP_008651217.1;XP_008651220.1;XP_008651222.1;XP_020396677.1;XP_020396806.1;NP_001141921.1;XP_035816337.1;NP_001142627.1;XP_008652035.1;XP_008652034.1;XP_008652036.1;XP_020396654.1;XP_008653622.1;NP_001344156.1;XP_008652039.1;NP_001132851.1		107.0	16.765578635014837
42	Cyclopeptide	6335277	7325673	990400	BURP	-	NC_050102.1	LOC100037820;LOC10003_11;LOC10003_12;LOC10003_13;LOC10003_14;LOC10003_15;LOC10003_16;LOC10003_17;LOC10003_18;LOC10003_19;LOC10003_20;LOC100272318;LOC103631950;LOC100384228;LOC100284937;LOC103631951;LOC109941011;LOC100501925;LOC10050_429;LOC100193299;LOC100384307;LOC100283014;LOC103631954;LOC10363_678;LOC10363_680;LOC10363_681;LOC10363_679;LOC10363_682;LOC10363_683;LOC100278468;LOC100276461;LOC10027_2981;LOC10027_2982;LOC10027_2983;LOC10027_2984;LOC10027_2985;LOC10027_2986;LOC10027_2987;LOC10027_2988;LOC10027_2989;LOC10027_2990;LOC10027_2991;LOC10027_2992;LOC10027_2993;LOC10027_2994;LOC10027_2995;LOC10027_2996;LOC10027_2997;LOC10027_2998;LOC10027_2999;LOC10027_3000;LOC10027_3001;LOC10027_3002;LOC10027_3003;LOC10027_3004;LOC10027_3005;LOC10027_3006;LOC10027_3007;LOC10027_3008;LOC10027_3009;LOC10027_3010;LOC10027_3011;LOC103631955;LOC103631956;LOC100274070;LOC100274899;LOC10027_3012;LOC103631959;LOC103631958;LOC103631960;LOC100281302;LOC103633692;LOC111274022;LOC103631966;LOC100194343	XP_008650752.2;XP_008650753.2;XP_008650755.2;XP_020395849.1;NP_001105990.1;XP_035816215.1;XP_035816216.1;XP_035816217.1;XP_035816218.1;XP_035816219.1;XP_035816220.1;NP_001140274.1;XP_008652025.1;NP_001315123.1;NP_001151304.1;XP_035817109.1;XP_035816688.1;NP_001335613.1;NP_001335612.1;NP_001131910.1;NP_001170334.1;NP_001149388.1;NP_001357915.1;XP_020396606.1;XP_035816603.1;XP_035816604.1;XP_035816605.1;XP_020396607.1;XP_023156350.1;NP_001159160.1;XP_020395984.1;XP_020395985.1;XP_020395987.1;XP_020395988.1;XP_020395989.1;XP_020395991.1;XP_020395993.1;XP_020395994.1;XP_020395995.1;XP_020395996.1;XP_020395997.1;XP_035816356.1;XP_035816357.1;XP_035816358.1;XP_035816359.1;XP_035816360.1;XP_023156249.1;XP_035816361.1;XP_035816362.1;XP_035816363.1;XP_035816364.1;XP_035816365.1;XP_035816366.1;XP_035816367.1;XP_035816368.1;XP_035816369.1;XP_035816370.1;XP_035816371.1;NP_001143719.1;XP_008651217.1;XP_008651220.1;XP_008651222.1;XP_020396677.1;XP_020396806.1;NP_001141921.1;XP_035816337.1;NP_001142627.1;XP_008652035.1;XP_008652034.1;XP_008652036.1;XP_020396654.1;XP_008653622.1;NP_001344156.1;XP_008652039.1;NP_001132851.1		107.0	17.170111287758345
43	Saccharide	18578433	19211243	632810	Cellulose_synt, Methyltransf_11, Peptidase_S10	-	NC_050102.1	LOC100285034;LOC541682;LOC54168_2;LOC54168_3;LOC54168_4;LOC10019_1763;LOC100193359;LOC100216939;LOC103633760;LOC100280191;LOC100283974;LOC606461;LOC60646_5;LOC54262_4;LOC542624;LOC100193194;LOC10019_1764	NP_001151401.1;NP_001106071.1;XP_035816646.1;XP_008651830.1;XP_008651831.1;NP_001335859.1;XP_008650890.1;NP_001136794.1;XP_008653672.1;NP_001354851.1;NP_001361303.1;XP_008651879.1;NP_001105791.1;XP_035816667.1;NP_001105621.2;XP_008650876.1;NP_001131821.2		107.0	41.23711340206185
44	Saccharide	108510633	109419256	908620	AMP-binding, UDPGT_2, p450	-	NC_050102.1	LOC103634081;LOC100281562;LOC103632693;LOC100216714;LOC10021_518;LOC10021_519;LOC103632694;LOC10363_999;LOC10363_1000;LOC103632697;LOC100285971;LOC10028_2510;LOC100276143	XP_035817132.1;NP_001147953.1;NP_001339826.1;XP_020395921.1;XP_008650971.1;NP_001136591.1;XP_008652660.1;XP_020396615.1;XP_020396616.1;XP_020396553.1;XP_020396186.1;NP_001152332.1;NP_001143472.1		172.0	44.02985074626866
45	Saccharide	122353659	122920523	566860	Cellulose_synt, Glycos_transf_1, Transferase	-	NC_050102.1	LOC109941147;LOC100502443;LOC109939153;LOC100501555;LOC100284770;LOC542514;LOC100275573;LOC10027_3160;LOC10027_3161;LOC10027_3162;LOC10027_3163;LOC103632778;LOC103632780;LOC100191895;LOC100274282	XP_035816914.1;NP_001183850.1;XP_020397241.1;NP_001344644.1;NP_001357610.1;NP_001105532.1;XP_020395977.1;NP_001358607.1;XP_008651179.1;XP_008651180.1;XP_008651181.1;XP_008652733.1;XP_020396975.1;NP_001130791.1;NP_001142118.1		41.0	44.72843450479233
46	Putative	131667447	132283543	616100	ADH_N, ADH_zinc_N, Abhydrolase_3, adh_short	-	NC_050102.1	LOC103632857;LOC100273605;LOC100381485;LOC100381799;LOC100274479;LOC10027_3178;LOC100276620;LOC100272907;LOC103632862;LOC10363_1041;LOC103634161;LOC100285937;LOC100272258;LOC100282458;LOC100279730;LOC100284865	XP_008652800.1;NP_001141493.1;NP_001313391.1;NP_001168067.1;NP_001142310.1;NP_001351934.1;NP_001143838.1;NP_001140832.1;XP_023156404.1;XP_023156405.1;XP_008653975.1;NP_001152298.2;NP_001140223.1;NP_001148840.2;NP_001146161.1;NP_001151232.2		178.0	37.69968051118211
47	Phenolamide	149970410	150282872	312460	Orn_Arg_deC_N, Orn_DAP_Arg_deC, Transferase	-	NC_050102.1	LOC100279845;LOC103633096;LOC10363_1116;LOC103633099;LOC103633102;LOC103633103;LOC100281220;LOC100280015;LOC10028_2568;LOC10028_2569;LOC10028_2570	NP_001304773.1;NP_001355340.1;XP_008652997.1;XP_008653000.1;XP_008653003.1;XP_020396924.1;NP_001147611.2;NP_001146433.1;XP_008651358.1;XP_008651359.1;XP_008651360.1		107.0	49.664429530201346
48	Saccharide	179647172	179795483	148310	Glyco_hydro_1, Methyltransf_11, Peptidase_S10	-	NC_050102.1	LOC100502417;LOC100272793;LOC100191618;LOC100282438;LOC100279718;LOC10027_3304;LOC100275631;LOC100192831;LOC100217144;LOC100281514;LOC103633514	NP_001183824.1;NP_001140718.1;NP_001130519.1;NP_001148821.1;NP_001146149.1;XP_008651342.1;NP_001143150.2;NP_001131494.1;NP_001346577.1;NP_001147904.2;NP_001152631.2		145.0	51.26050420168067
49	Phenolamide	183957230	184188220	230990	Orn_Arg_deC_N, Orn_DAP_Arg_deC, Transferase	-	NC_050102.1	LOC103633607;LOC10363_1390;LOC10363_1391;LOC10363_1392;LOC10363_1393;LOC10363_1394;LOC10363_1395;LOC10363_1396;LOC10363_1397;LOC10363_1398;LOC10363_1399;LOC10363_1400;LOC10363_1401;LOC10363_1402;LOC10363_1403;LOC10363_1404;LOC103633611;LOC100274319;LOC100217111;LOC10027_3341;LOC100276706;LOC103633612;LOC100284922;LOC103634448	XP_008653541.1;XP_008653542.1;XP_008653545.1;XP_008653544.1;XP_035817096.1;XP_035817097.1;XP_008653547.1;XP_035817098.1;XP_008653548.1;XP_035817099.1;XP_035817100.1;XP_035817101.1;XP_035817103.1;XP_035817102.1;XP_020396494.1;XP_035817104.1;XP_020396749.1;NP_001142154.1;NP_001340543.1;NP_001307199.1;XP_020396005.1;XP_008653553.1;NP_001151289.1;XP_020396809.1		107.0	42.59634888438134
50	Saccharide-Terpene	13062734	13276990	214260	Terpene_synth, Terpene_synth_C, UDPGT, p450	flavonoid	NC_050104.1	LOC107521953;LOC103637956;LOC100281989;LOC10028_3008;LOC732795;LOC732800;LOC100502371;LOC10050_487;LOC100501672;LOC100383746;LOC100383072	NP_001308684.1;XP_008659179.1;NP_001361294.1;XP_035818151.1;NP_001105882.2;NP_001105886.1;NP_001183778.1;XP_008658989.1;NP_001183278.1;NP_001169853.2;XP_008659182.1		169.0	48.739495798319325
51	Fatty_acid-Saccharide	92611747	92980678	368930	ECH_2, Transferase, UDPGT_2	flavonoid	NC_050104.1	LOC103638666;LOC103638667;LOC10027_3813;LOC100272777;LOC10027_3812;LOC109942331;LOC103638668;LOC100274286;LOC103638669	XP_035818500.1;XP_008659733.1;NP_001140702.1;XP_008658246.1;XP_008658247.1;XP_020399838.1;XP_020399798.1;NP_001142122.1;XP_008659734.3		171.0	54.807692307692314
52	Saccharide	93722149	94266659	544510	ADH_N_2, ADH_zinc_N, UDPGT_2, adh_short	-	NC_050104.1	LOC103640082;LOC100502325;LOC103638675;LOC100192606;LOC100274113;LOC100383542;LOC100281559;LOC100191649;LOC100281168;LOC10028_3068;LOC10028_3069;LOC107522037;LOC100193737	XP_023156817.1;NP_001183732.1;XP_008659741.1;NP_001352467.1;NP_001141964.1;NP_001349018.1;NP_001354956.1;NP_001130550.1;XP_035818136.1;NP_001147559.1;XP_020399239.1;NP_001309230.1;NP_001132297.2		107.0	48.78048780487805
53	Fatty_acid	110153899	110456406	302510	2OG-FeII_Oxy, CER1-like_C, Epimerase, FA_hydroxylase	-	NC_050104.1	LOC103640166;LOC100191682;LOC100283867;LOC10363_2228;LOC103638844;LOC103640170;LOC103640171;LOC100192547	XP_008661019.1;NP_001130583.1;NP_001150237.1;XP_008659865.1;XP_035818513.1;XP_020399853.1;XP_020399845.1;NP_001340400.1		142.0	57.30337078651685
54	Polyketide	124828634	125428323	599690	Chal_sti_synt_C, Chal_sti_synt_N, Dimerisation, Methyltransf_11, Methyltransf_2, Peptidase_S10	-	NC_050104.1	LOC100383457;LOC10038_2094;LOC100276037;LOC103638997;LOC100192774;LOC100282216;LOC100286138;LOC100381870;LOC10038_2095;LOC10038_2096;LOC10038_2097;LOC103638999;LOC103639000;LOC103640262;LOC10028_3111;LOC10028_3112;LOC100285045;LOC10028_3108;LOC10028_3109;LOC10028_3110;LOC103639004	NP_001344076.1;XP_008660000.1;NP_001143396.1;XP_008660001.2;NP_001131442.1;NP_001148600.1;NP_001152498.2;NP_001168126.2;XP_035818208.1;XP_008658789.1;XP_008658790.1;XP_008660003.1;XP_008660004.1;XP_020400312.1;NP_001352107.1;NP_001159178.1;NP_001151412.2;XP_008658699.1;NP_001352106.1;XP_008658700.1;XP_008660005.1		107.0	42.410714285714285
55	Saccharide	50385857	53909978	3524120	2OG-FeII_Oxy, Acetyltransf_1, Aminotran_3, DIOX_N, Glycos_transf_2	-	NC_050105.1	LOC100382139;LOC10038_2205;LOC100283841;LOC109942989;LOC10994_194;LOC10994_195;LOC10994_196;LOC10994_197;LOC100280359;LOC10028_3309;LOC541983;LOC103641140;LOC103642481	XP_008662134.1;NP_001168371.1;NP_001150211.1;XP_020401233.1;XP_035819277.1;XP_020401235.1;XP_020401237.1;XP_035819278.1;NP_001146757.1;XP_008661850.1;NP_001105106.2;XP_008662730.1;XP_008663967.1		107.0	45.1219512195122
56	Fatty_acid	62670505	63767723	1097220	Amino_oxidase, FA_desaturase_2, Peptidase_S10	-	NC_050105.1	LOC103642525;LOC103642530;LOC103642532;LOC542689;LOC542754;LOC109943306;LOC103641226;LOC118473514;LOC103641227;LOC103641228;LOC732751	XP_020401319.1;XP_008664009.1;XP_020400979.1;NP_001105675.1;NP_001292867.2;XP_035819291.1;NP_001288477.1;XP_035819145.1;XP_020401470.1;XP_008662810.1;NP_001105850.2		76.0	46.21848739495798
57	Saccharide-Terpene	74335789	75708425	1372640	AMP-binding, Terpene_synth, Terpene_synth_C, UDPGT_2	*monoterpenoid, cyanogenic glucoside	NC_050105.1	LOC100282772;LOC10364_1792;LOC10364_1793;LOC10364_1791;LOC10364_1790;LOC103641248;LOC109943181;LOC103641249;LOC10019_2383;LOC100193038	NP_001281197.1;XP_020401259.1;XP_020401260.1;XP_008662832.1;NP_001348098.1;XP_008662829.1;NP_001348122.1;XP_008662833.1;XP_008661396.1;NP_001345524.1		172.0	53.81165919282511
58	Terpene	76833942	77526198	692260	Terpene_synth, Terpene_synth_C, p450	-	NC_050105.1	LOC100193813;LOC10019_2419;LOC10021_712;LOC10021_711;LOC100216803;LOC103642697;LOC10364_1898;LOC10364_1897;LOC100283843;LOC109942886;LOC100280214;LOC103641561;LOC100192930	XP_008661434.1;NP_001345825.1;NP_001136674.1;XP_035818827.1;XP_035818826.1;XP_008664132.2;XP_020401187.1;XP_020401186.1;NP_001150213.1;XP_020401038.1;NP_001146617.2;XP_020401451.1;XP_008663129.1		128.0	44.776119402985074
59	Fatty_acid	108617346	109308817	691470	ADH_N, ADH_zinc_N, FA_desaturase_2, Methyltransf_11	-	NC_050105.1	LOC100283675;LOC109942805;LOC100382888;LOC10038_2199;LOC100192658;LOC10019_2367;LOC10019_2368;LOC10019_2369;LOC10019_2370;LOC10019_2371;LOC10019_2372;LOC10019_2373;LOC10019_2374;LOC10019_2375;LOC103642437;LOC100278375;LOC100282162;LOC10028_3296;LOC109942982;LOC10028_3297;LOC10028_3298;LOC100280573;LOC103641081;LOC103638413;LOC103641082;LOC54248_4;LOC542482;LOC103641084	NP_001150048.1;XP_020400944.1;XP_008662155.1;NP_001169048.1;XP_020400453.1;NP_001358563.1;XP_035818762.1;XP_008661359.1;XP_035818763.1;XP_035818761.1;XP_008661360.1;XP_008661358.1;XP_008661356.1;XP_008661357.1;XP_008663933.1;NP_001145144.1;XP_008661915.1;NP_001300767.1;XP_020401213.1;XP_035818923.1;NP_001146964.1;XP_035818922.1;XP_020401814.1;XP_020401813.1;XP_008662690.1;XP_020401779.1;NP_001105505.2;XP_008662691.2		107.0	41.22965641952984
